Title,Publisher,Valuable,Count,IDnum
Downforce,Restoration Games,TRUE,1,1956
Dr. Beaker,Blue Orange Games,TRUE,1,1822
Dr. Microbe,Blue Orange Games,TRUE,1,1821
Dragon Ball Z Power Up! Board Game,Usaopoly,TRUE,1,2366
Dragon Castle,Cmon,TRUE,1,2318
Dragon Pets,Japanime Games,TRUE,1,2558
Dragon Punch,Level 99 Games,TRUE,1,3566
Dragon Whisperer,Albino Dragon,TRUE,1,2493
Dragon's Breath,Haba,TRUE,1,3242
Dragon's Gold,Pandasaurus,TRUE,1,1249
Dragonfire,Catalyst Game Labs,TRUE,1,1889
Dragonscales,Arcane Wonders,TRUE,1,3123
Dragonsgate College,Nskn Games,TRUE,1,1999
Dragonwood,Gamewright,TRUE,1,2221
Dragoon,Lay Waste Games,TRUE,1,1480
Dread Curse,Smirk & Dagger Games,TRUE,1,1101
Dream Home,Asmodee,TRUE,1,1554
Dream On!,Cmon,TRUE,2,2487
Dreams of Tomorrow,Weird Giraffe Games,TRUE,1,3188
Drinking Quest: Liquor Before Honor,Jason Anarchy Games,TRUE,1,2885
Drop It,Kosmos,TRUE,5,2130
Dune,Gale Force Nine,TRUE,6,3121
Dungeon Drop,Gamewright,TRUE,1,3517
Duple,Anomia Press,TRUE,1,3493
Ecos: First Continent,Aeg,TRUE,5,3073
Edge of Darkness,Aeg,TRUE,1,3083
Eight-Minute Empire: Legends,Red Raven Games,TRUE,1,1316
El Grande,Rio Grande Games,TRUE,1,273
Elder Sign,Fantasy Flight Games,TRUE,1,274
Eldritch Horror,Fantasy Flight Games,TRUE,1,1086
Electropolis,Homosapiens Lab,TRUE,3,3458
Element,Rather Dashing,TRUE,2,1714
Eleminis,Flying Meeple,TRUE,2,2206
End of the Trail,Elf Creek Games,TRUE,1,3496
"Engine, Engine No. 9",Amigo,TRUE,1,3311
Entropy,Rule & Make,TRUE,2,1884
Enuk,Queen Kids,TRUE,1,2586
Epic Card Game,White Wizard Games Llc,TRUE,2,1270
Epoch,Rio Grande Games,TRUE,1,3271
Equinox,Admagic Games,TRUE,1,3111
Era of Tribes,Black Beacon Games,TRUE,3,3462
Eruption,Stratus Games,TRUE,1,286
Escape Tales: Low Memory,Board & Dice,TRUE,1,3085
Escape Tales: The Awakening,Board & Dice,TRUE,1,3088
Eschaton,Archon Games,TRUE,1,1740
Eschaton,Archon Games,TRUE,1,2822
Ethnos,Spaghetti Western Games,TRUE,3,1759
Euphoria: Build a Better Dystopia,Stonemaier Games,TRUE,1,1457
Europa Base Alpha,Wizkids,TRUE,1,3356
Everdell,Starling Games,TRUE,3,2253
Evil Intent,Kraken Games,TRUE,1,1509
Evo,Philippe Key Aerts,TRUE,1,3256
Evolution,North Star Games,TRUE,2,1524
Evolution: The Beginning,North Star Games,TRUE,1,1598
Ex Libris,Renegade Game Studios,TRUE,2,2029
Exiled Legends,Unstable Games,TRUE,1,2898
Exodus: Paris Nouveau,Indie Boards & Cards,TRUE,1,2413
Exoplanets,Greater Than Games,TRUE,1,1677
Expancity,Breaking Games,TRUE,3,2246
Expedition to Newdale,Lookout Games,TRUE,3,3377
Expedition Zetta,Ion Game Design,TRUE,1,2672
Exploding Kittens,Admagic Games,TRUE,1,3101
Exploding Kittens: NSFW Deck,Exploding Kittens,TRUE,1,3466
Explorers of the North Sea,Renegade Game Studios,TRUE,1,2119
Extraordinary Adventures: Pirates,Forbidden Games,TRUE,2,3217
Eye My Favorite Things,Surume Days,TRUE,1,2663
Eye Sea,Amigo,TRUE,1,3250
Fae,Z-Man Games,TRUE,1,2151
Fae,Z-Man Games,TRUE,1,2151
Fafnir,Oink Games,TRUE,3,3431
Fairy Mischief,Fun,TRUE,1,3168
Fairy Tale,Z-Man Games,TRUE,1,1774
Fairy Tile,Iello,TRUE,1,2553
Fallout,Fantasy Flight Games,TRUE,1,2042
Fallout Shelter: The Board Game,Fantasy Flight Games,TRUE,2,3515
Family Plot,White Cherry,TRUE,1,1626
Fantastic Beasts: Perilous Pursuit,Usaopoly,TRUE,1,3518
Fantastic Beasts: Perilous Pursuit,Usaopoly,TRUE,1,3518
Fantastic Factories,Metafactory Games,TRUE,3,3280
Fantasy Realms,Wizkids,TRUE,1,3341
Farlight,Game Salute,TRUE,2,3007
Farm Rescue,Brain Games,TRUE,2,3233
Fast Sloths,Stronghold Games,TRUE,1,3447
Fate of the Elder Gods,Greater Than Games,TRUE,1,1676
Favelas,Wizkids,TRUE,1,2044
Fealty,Asmadi Games,TRUE,1,298
Fear,Stronghold Games,TRUE,1,2866
Fire in the Library,Tony Miller And John Prather,TRUE,1,2547
Fire Tower,Runaway Parade Games,TRUE,6,3506
Fireball Island: The Curse of Vul-Kar,Restoration Games,TRUE,2,2766
Firefly Adventures: Brigands and Browncoats,Gale Force Nine,TRUE,1,2176
Firefly: The Game,Gale Force Nine,TRUE,1,2177
Firenze,Pegasus Spiele,TRUE,1,1585
Fireworks,Renegade Game Studios,TRUE,1,2462
Five Seals of Magic,Igrology,TRUE,1,3220
Five Tribes,Days Of Wonder,TRUE,1,2787
Flamme Rouge,Stronghold Games,TRUE,1,1954
Flamme Rouge,Stronghold Games,TRUE,1,1954
Flash Point: Fire Rescue,Indie Boards & Cards,TRUE,1,305
Flatline,Renegade Game Studios,TRUE,1,1640
Fast Forward: FLEE,Stronghold Games,TRUE,1,2868
Flick Fleck,Zoch,TRUE,1,2372
Flick Wars,Breaking Games,TRUE,1,3529
Flip Over Frog,Hub Games,TRUE,5,3049
Flip Over Frog,Hub Games,TRUE,5,3049
Flip Ships,Renegade Game Studios,TRUE,2,1941
Flotilla,Wizkids Games,TRUE,1,3368
Flotilla,Wizkids Games,TRUE,1,3368
Flotsam Fight,Oink Games,TRUE,1,2255
Fluff,Bananagrams,TRUE,1,2516
Fluxx,Looney Labs,TRUE,1,307
Fog of Love,Hush Hush Projects,TRUE,3,3364
Folklore: The Affliction,Greenbrier Games,TRUE,1,2319
Foodies,Cmon,TRUE,1,2968
Fool!,Stronghold Games,TRUE,1,2854
Fool's Gold,Rock Paper Scissors Games,TRUE,1,3172
Fool's Gold,Rock Paper Scissors Games,TRUE,1,3172
For Sale,Eagle-Gryphon Games,TRUE,1,1948
For Sale,Eagle-Gryphon Games,TRUE,1,1948
For the Crown,Victory Point Games,TRUE,1,2999
Forbidden Desert,Gamewright,TRUE,1,1098
Forbidden Island,Gamewright,TRUE,1,311
Forbidden Sky,Gamewright,TRUE,2,2256
Forbidden Sky,Gamewright,TRUE,1,2946
Forever Young,Twilight Creations,TRUE,1,3573
Forgotten Waters,Plaid Hat Games,TRUE,1,3535
Forgotten Waters,Plaid Hat Games,TRUE,2,3536
Formosa Tea,Tmg,TRUE,1,3391
Formula D,Asmodee,TRUE,1,312
Forum Trajanum,Stronghold Games,TRUE,1,2680
Founders of Gloomhaven,Cephalofair Games,TRUE,1,2257
Four,Golden Bell Games,TRUE,2,3511
Fox's Party,Zoch,TRUE,1,2399
Franchise,Queen Games,TRUE,1,2585
Freedom: The Underground Railroad,Academy Games,TRUE,1,1947
Frenemy Pastry Party,Mizo Games,TRUE,1,3436
Fresco,Queen Games,TRUE,1,1910
Fry Thief,Laid Back Games,TRUE,1,3478
Fugitive,Fowers Games,TRUE,1,1525
Fuji,Feuerland,TRUE,1,2794
Fuji Flush,Stronghold Games,TRUE,2,1951
Fuji Koro,Game Brewer,TRUE,3,3454
Funky Chicken,Happy Planet,TRUE,1,2819
The Fury of Dracula,Fantasy Flight Games,TRUE,1,1318
Fuse,Renegade Game Studios,TRUE,14,1641
Futuropia,Stronghold Games,TRUE,1,2668
Gaia Project,Z-Man Games,TRUE,1,2047
Galactic Scoundrels,Mercury Games',TRUE,1,3467
Galaxy Trucker,Cge,TRUE,1,324
Game of Phones,Breaking Games,TRUE,4,2877
Game of Thrones: Oathbreaker,Direwolf,TRUE,1,2948
Game of Trains,Brain Games,TRUE,2,3400
Garbage Day,Mayday Games,TRUE,1,3124
Gateway: Uprising,Cmon,TRUE,1,1728
Gem Rush,Victory Point Games,TRUE,1,3097
Get Bit!,Mayday Games,TRUE,1,3187
Get Lucky,Cheapass Games,TRUE,1,2418
Get Off My Land!,First Fish Games,TRUE,1,2518
Get Packing,Asmodee,TRUE,2,3058
Get the MacGuffin,Looney Labs,TRUE,1,2351
Getaway Driver,Uproarious Games,TRUE,1,2902
Ghosts of the Moor,Tasty Minstrel Games,TRUE,2,2679
Gimme Gimme Guinea Pigs,Flying Meeple,TRUE,2,3046
Gingerdead House,Lookout Games,TRUE,1,2703
Giro Galoppo,Rio Grande Games,TRUE,1,3075
Give Me the Brain!,Cheapass Games,TRUE,1,2375
Glen More II: Chronicles,Funtails,TRUE,2,3450
Gloom in Space,Atlas Games,TRUE,1,1521
Gloomy Graves,Renegade Game Studios,TRUE,1,3520
Glüx,Queen Games,TRUE,1,1705
Go Cuckoo!,Haba,TRUE,1,1545
Go Go Gelato!,Blue Orange Games,TRUE,1,1784
Goat 'n' Goat,Okazu Brand,TRUE,2,3413
Gobbit,Oldchap Games,TRUE,3,3537
Gobblet Gobblers,Blue Orange Games,TRUE,1,1808
God of War: The Card Game,Cmon,TRUE,2,2984
Going Postal,Song Yijie,TRUE,1,3490
Going Postal,Song Yijie,TRUE,1,3490
